v8-version,5,1,281,95,0
shared-library,"/home/wangding/.nvm/versions/node/v6.10.1/bin/node",0x00400000,0x01bf3000
shared-library,"/usr/lib64/libc-2.17.so",0x7facd87f7000,0x7facd89ad000
shared-library,"/usr/lib64/libpthread-2.17.so",0x7facd8bb8000,0x7facd8bcf000
shared-library,"/usr/lib64/libgcc_s-4.8.5-20150702.so.1",0x7facd8dd4000,0x7facd8de9000
shared-library,"/usr/lib64/libm-2.17.so",0x7facd8fea000,0x7facd90ea000
shared-library,"/usr/lib64/libstdc++.so.6.0.19",0x7facd92ec000,0x7facd93d5000
shared-library,"/usr/lib64/librt-2.17.so",0x7facd95f5000,0x7facd95fc000
shared-library,"/usr/lib64/libdl-2.17.so",0x7facd97fd000,0x7facd97ff000
shared-library,"/usr/lib64/ld-2.17.so",0x7facd9a01000,0x7facd9a21000
shared-library,"[vdso]",0x7ffef292c000,0x7ffef292e000
shared-library,"[vsyscall]",0xffffffffff600000,0xffffffffff601000
profiler,"begin",1
code-creation,Stub,3,0x13b774f06000,454,"CallConstructStub"
code-creation,Stub,3,0x13b774f061e0,539,"CreateAllocationSiteStub"
code-creation,Stub,3,0x13b774f06400,2421,"RecordWriteStub"
code-creation,Stub,3,0x13b774f06d80,388,"StoreBufferOverflowStub"
code-creation,Stub,3,0x13b774f06f20,2380,"RecordWriteStub"
code-creation,Stub,3,0x13b774f07880,577,"CEntryStub"
code-creation,Stub,3,0x13b774f07ae0,431,"CreateWeakCellStub"
code-creation,Stub,3,0x13b774f07ca0,2422,"RecordWriteStub"
code-creation,Stub,3,0x13b774f08620,2376,"RecordWriteStub"
code-creation,Builtin,5,0x13b774f08f80,168,"Construct"
code-creation,Builtin,5,0x13b774f09040,114,"ConstructFunction"
code-creation,Builtin,5,0x13b774f090c0,259,"ConstructBoundFunction"
code-creation,Stub,3,0x13b774f091e0,392,"CEntryStub"
code-creation,Builtin,5,0x13b774f09380,121,"ConstructProxy"
code-creation,Builtin,5,0x13b774f09400,406,"CallFunction_ReceiverIsAny"
